,Date,total_rev,marketcap,crude_oil_price,gold_price,eur_inr,gbp_inr,usd_inr,cpi,interest_rate,gdp_growth_rate
0,2014-01-01,129298.90999833333,21760817.510615204,97.49,1240.3,84.524,102.996,62.68,90.6598661141218,8.764,1.15901
1,2014-02-01,129298.90999833333,17291005.347151406,102.59,1321.9,85.283,103.455,61.79,91.0423971947721,8.8125,2.28966
2,2014-03-01,129298.90999833333,12821193.183687607,101.58,1284.1,82.627,99.98,60.005,91.4249282754224,8.8375,1.8258
3,2014-04-01,142644.483,8351381.020223809,99.74,1296.0,83.667,101.794,60.34,92.5725215173733,8.9875,1.53396
4,2014-05-01,142644.483,11826113.119929513,102.71,1246.3,80.662,99.127,59.18,93.3375836786739,8.752,1.68429
5,2014-06-01,142644.483,10460562.094916215,105.37,1322.4,82.208,102.695,60.045,94.1026458399745,8.6325,2.14175
6,2014-07-01,143100.339,10586442.316413917,98.17,1282.8,81.064,102.233,60.55,96.3978323238763,8.655,1.84622
7,2014-08-01,143100.339,12153075.80412562,95.96,1287.4,79.455,100.42,60.505,96.7803634045266,8.56,2.03253
8,2014-09-01,143100.339,11058227.52170832,91.16,1212.3,78.217,100.393,61.925,96.7803634045266,8.4925,2.90241
9,2014-10-01,147929.81821,10737328.783632023,80.54,1172.4,76.885,98.193,61.39,96.7803634045266,8.402000000000001,1.78091
10,2014-11-01,147929.81821,12710624.736602727,66.15,1176.0,77.433,97.31,62.195,96.7803634045266,8.185,2.29157
11,2014-12-01,147929.81821,10698580.325500429,53.27,1184.9,76.247,98.157,63.03,96.7803634045266,7.955,1.36384
12,2015-01-01,148496.208223,12621680.63138413,48.24,1280.0,69.985,93.424,62.01,97.1628944851769,7.794,0.7997
13,2015-02-01,148496.208223,10917703.325495834,49.76,1214.0,69.004,95.137,61.649,96.7803634045266,7.7325,2.05868
14,2015-03-01,148496.208223,11232377.355468536,47.6,1184.1,66.828,92.276,62.281,97.1628944851769,7.8225,1.64816
15,2015-04-01,160034.636,11247094.465535238,59.63,1183.4,71.282,97.496,63.52,97.9279566464775,7.836666667,1.87848
16,2015-05-01,160034.636,12652904.55264494,60.3,1190.7,70.024,97.435,63.733,98.6930188077781,7.852,2.14651
